"","unique.date","crime_frequency","year","month","day","binary"
"422",2007-02-26,516,2007,2,26,0
"423",2007-02-27,633,2007,2,27,0
"424",2007-02-28,597,2007,2,28,0
"425",2007-03-01,576,2007,3,1,0
"426",2007-03-02,582,2007,3,2,0
"427",2007-03-03,612,2007,3,3,0
"428",2007-03-04,617,2007,3,4,0
"429",2007-03-05,603,2007,3,5,0
"430",2007-03-06,545,2007,3,6,0
"431",2007-03-07,504,2007,3,7,0
"432",2007-03-08,548,2007,3,8,0
"433",2007-03-09,547,2007,3,9,0
"434",2007-03-10,647,2007,3,10,0
"435",2007-03-11,536,2007,3,11,0
"436",2007-03-12,644,2007,3,12,0
"437",2007-03-13,734,2007,3,13,0
"438",2007-03-14,683,2007,3,14,0
"439",2007-03-15,650,2007,3,15,0
"440",2007-03-16,381,2007,3,16,0
"441",2007-03-17,346,2007,3,17,0
"442",2007-03-18,485,2007,3,18,0
"443",2007-03-19,529,2007,3,19,0
"444",2007-03-20,669,2007,3,20,0
"445",2007-03-21,665,2007,3,21,0
"446",2007-03-22,674,2007,3,22,0
"447",2007-03-23,633,2007,3,23,0
"448",2007-03-24,627,2007,3,24,0
"449",2007-03-25,618,2007,3,25,0
"450",2007-03-26,656,2007,3,26,0
"451",2007-03-27,738,2007,3,27,0
"452",2007-03-28,677,2007,3,28,0
"453",2007-03-29,659,2007,3,29,0
"454",2007-03-30,659,2007,3,30,0
"455",2007-03-31,622,2007,3,31,0
"456",2007-04-01,663,2007,4,1,0
"457",2007-04-02,676,2007,4,2,0
"458",2007-04-03,705,2007,4,3,0
"459",2007-04-04,693,2007,4,4,0
"460",2007-04-05,664,2007,4,5,0
"461",2007-04-06,604,2007,4,6,0
"462",2007-04-07,647,2007,4,7,0
"463",2007-04-08,460,2007,4,8,0
"464",2007-04-09,591,2007,4,9,0
"465",2007-04-10,633,2007,4,10,0
"466",2007-04-11,631,2007,4,11,0
"467",2007-04-12,651,2007,4,12,0
"468",2007-04-13,606,2007,4,13,0
"469",2007-04-14,610,2007,4,14,0
"470",2007-04-15,445,2007,4,15,0
"471",2007-04-16,530,2007,4,16,0
"472",2007-04-17,627,2007,4,17,0
"473",2007-04-18,744,2007,4,18,0
"474",2007-04-19,696,2007,4,19,0
"475",2007-04-20,576,2007,4,20,0
"476",2007-04-21,629,2007,4,21,0
"477",2007-04-22,673,2007,4,22,0
"478",2007-04-23,639,2007,4,23,0
"479",2007-04-24,721,2007,4,24,0
"480",2007-04-25,701,2007,4,25,0
"481",2007-04-26,623,2007,4,26,0
"482",2007-04-27,587,2007,4,27,0
"483",2007-04-28,634,2007,4,28,0
"484",2007-04-29,718,2007,4,29,0
"485",2007-04-30,700,2007,4,30,0
"486",2007-05-01,694,2007,5,1,0
"487",2007-05-02,696,2007,5,2,0
"488",2007-05-03,665,2007,5,3,0
"489",2007-05-04,644,2007,5,4,0
"490",2007-05-05,586,2007,5,5,0
"491",2007-05-06,592,2007,5,6,0
"492",2007-05-07,622,2007,5,7,0
"493",2007-05-08,710,2007,5,8,0
"494",2007-05-09,698,2007,5,9,0
"495",2007-05-10,707,2007,5,10,0
"496",2007-05-11,733,2007,5,11,0
"497",2007-05-12,662,2007,5,12,0
"498",2007-05-13,554,2007,5,13,0
"499",2007-05-14,777,2007,5,14,0
"500",2007-05-15,659,2007,5,15,0
"501",2007-05-16,551,2007,5,16,0
"502",2007-05-17,703,2007,5,17,0
"503",2007-05-18,678,2007,5,18,0
"504",2007-05-19,596,2007,5,19,0
"505",2007-05-20,533,2007,5,20,0
"506",2007-05-21,692,2007,5,21,0
"507",2007-05-22,723,2007,5,22,0
"508",2007-05-23,732,2007,5,23,0
"509",2007-05-24,731,2007,5,24,0
"510",2007-05-25,652,2007,5,25,0
"511",2007-05-26,630,2007,5,26,0
"512",2007-05-27,522,2007,5,27,0
"513",2007-05-28,517,2007,5,28,0
"514",2007-05-29,708,2007,5,29,0
"515",2007-05-30,716,2007,5,30,0
"516",2007-05-31,702,2007,5,31,0
"517",2007-06-01,594,2007,6,1,0
"518",2007-06-02,675,2007,6,2,0
"519",2007-06-03,603,2007,6,3,0
"520",2007-06-04,612,2007,6,4,0
"521",2007-06-05,723,2007,6,5,0
"522",2007-06-06,678,2007,6,6,0
"523",2007-06-07,635,2007,6,7,0
"524",2007-06-08,601,2007,6,8,0
"525",2007-06-09,621,2007,6,9,0
"526",2007-06-10,577,2007,6,10,0
"527",2007-06-11,612,2007,6,11,0
"528",2007-06-12,675,2007,6,12,0
"529",2007-06-13,732,2007,6,13,0
"530",2007-06-14,675,2007,6,14,0
"531",2007-06-15,611,2007,6,15,0
"532",2007-06-16,627,2007,6,16,0
"533",2007-06-17,537,2007,6,17,0
"534",2007-06-18,617,2007,6,18,0
"535",2007-06-19,679,2007,6,19,0
"536",2007-06-20,651,2007,6,20,0
"537",2007-06-21,678,2007,6,21,0
"538",2007-06-22,623,2007,6,22,0
"539",2007-06-23,584,2007,6,23,0
"540",2007-06-24,586,2007,6,24,0
"541",2007-06-25,683,2007,6,25,0
"542",2007-06-26,701,2007,6,26,0
"543",2007-06-27,638,2007,6,27,0
"544",2007-06-28,583,2007,6,28,0
"545",2007-06-29,692,2007,6,29,0
"546",2007-06-30,640,2007,6,30,0
"547",2007-07-01,627,2007,7,1,0
"548",2007-07-02,663,2007,7,2,0
"549",2007-07-03,716,2007,7,3,0
"550",2007-07-04,510,2007,7,4,0
"551",2007-07-05,676,2007,7,5,0
"552",2007-07-06,567,2007,7,6,0
"553",2007-07-07,642,2007,7,7,0
"554",2007-07-08,598,2007,7,8,0
"555",2007-07-09,630,2007,7,9,0
"556",2007-07-10,757,2007,7,10,0
"557",2007-07-11,756,2007,7,11,0
"558",2007-07-12,782,2007,7,12,0
"559",2007-07-13,650,2007,7,13,0
"560",2007-07-14,569,2007,7,14,0
"561",2007-07-15,603,2007,7,15,0
"562",2007-07-16,639,2007,7,16,0
"563",2007-07-17,715,2007,7,17,0
"564",2007-07-18,698,2007,7,18,0
"565",2007-07-19,708,2007,7,19,0
"566",2007-07-20,619,2007,7,20,0
"567",2007-07-21,628,2007,7,21,0
"568",2007-07-22,554,2007,7,22,0
"569",2007-07-23,666,2007,7,23,0
"570",2007-07-24,718,2007,7,24,0
"571",2007-07-25,757,2007,7,25,0
"572",2007-07-26,695,2007,7,26,0
"573",2007-07-27,632,2007,7,27,0
"574",2007-07-28,608,2007,7,28,0
"575",2007-07-29,546,2007,7,29,0
"576",2007-07-30,618,2007,7,30,0
"577",2007-07-31,766,2007,7,31,0
"578",2007-08-01,736,2007,8,1,0
"579",2007-08-02,669,2007,8,2,0
"580",2007-08-03,631,2007,8,3,0
"581",2007-08-04,584,2007,8,4,0
"582",2007-08-05,576,2007,8,5,0
"583",2007-08-06,592,2007,8,6,0
"584",2007-08-07,751,2007,8,7,0
"585",2007-08-08,700,2007,8,8,0
"586",2007-08-09,599,2007,8,9,0
"587",2007-08-10,611,2007,8,10,0
"588",2007-08-11,663,2007,8,11,0
"589",2007-08-12,593,2007,8,12,0
"590",2007-08-13,653,2007,8,13,0
"591",2007-08-14,722,2007,8,14,0
"592",2007-08-15,737,2007,8,15,0
"593",2007-08-16,723,2007,8,16,0
"594",2007-08-17,626,2007,8,17,0
"595",2007-08-18,584,2007,8,18,0
"596",2007-08-19,556,2007,8,19,0
"597",2007-08-20,629,2007,8,20,0
"598",2007-08-21,619,2007,8,21,0
